[2026-04-23 09:51:53] Queue watcher started. Waiting on PID 20049 for current parity+NoPE+Ponder run.
[2026-04-23 11:24:54] Detected current NoPE run has finished. Launching parity+WPE-once+Ponder with n_steps=20.
Launching WPE-once Ponder run: {'task': 'parity', 'output_root': '/data/yizhou/looped-tf-length-generalization/models/wpe_once_baselines', 'seed': 42, 'beta': 0.01, 'prior_lambda': 0.2, 'dynamic_n': False, 'n_steps': 20, 'use_wpe': True, 'wpe_mode': 'once', 'use_rope': False}

  0%|          | 0/100001 [00:00<?, ?it/s]
loss=2.2107 rec=2.2054 kl=0.5324 n_points=2:   0%|          | 0/100001 [00:01<?, ?it/s]
loss=2.2107 rec=2.2054 kl=0.5324 n_points=2:   0%|          | 1/100001 [00:01<41:30:12,  1.49s/it]
loss=1.8229 rec=1.8177 kl=0.5242 n_points=2:   0%|          | 1/100001 [00:01<41:30:12,  1.49s/it]
loss=0.0005 rec=0.0005 kl=0.0004 n_points=2:   0%|          | 111/100001 [00:08<1:39:50, 16.68it/s]
loss=0.0005 rec=0.0005 kl=0.0004 n_points=2:   0%|          | 111/100001 [00:08<1:39:50, 16.68it/s]
loss=0.0005 rec=0.0005 kl=0.0004 n_points=2:   0%|          | 111/100001 [00:08<1:39:50, 16.68it/s]
loss=0.0005 rec=0.0005 kl=0.0004 n_points=2:   0%|          | 113/100001 [00:08<1:39:33, 16.72it/s]
loss=0.0005 rec=0.0005 kl=0.0004 n_points=2:   0%|          | 113/100001 [00:08<1:39:33, 16.72it/s]
loss=0.0005 rec=0.0005 kl=0.0003 n_points=2:   0%|          | 113/100001 [00:08<1:39:33, 16.72it/s]
loss=0.0005 rec=0.0005 kl=0.0003 n_points=2:   0%|          | 115/100001 [00:08<1:39:24, 16.75it/s]
loss=0.0005 rec=0.0005 kl=0.0004 n_points=2:   0%|          | 115/100001 [00:08<1:39:24, 16.75it/s]
loss=0.0005 rec=0.0005 kl=0.0003 n_points=2:   0%|          | 115/100001 [00:08<1:39:24, 16.75it/s]
loss=0.0005 rec=0.0005 kl=0.0003 n_points=2:   0%|          | 117/100001 [00:08<1:39:15, 16.77it/s]
loss=0.0005 rec=0.0005 kl=0.0003 n_points=2:   0%|          | 117/100001 [00:08<1:39:15, 16.77it/s]
